Name,Parish,Price,Bedrooms,Bathrooms,HasGarden,HasGarage,Status,Market,MarketType,PropertyType,Longitude,Latitude
"Maison De La Cotte","ST_PETER_PORT","3250000.00","5","4","true","true","AVAILABLE","Open","Buy","House","-2.5409850","49.4433099"
"2, Choisi Terrace","ST_PETER_PORT","5750000.00","7","4","true",,"AVAILABLE","Open","Buy","Cottage","-2.5483030","49.4559721"
"Guennola","CASTEL","3300000.00","5","4","true",,"AVAILABLE","Local","Buy","House","-2.5947399","49.4614698"
"Chamberlain House","ST_PETER_PORT",,"4","4","true","true","AVAILABLE","Open","Buy","Bungalow","-2.5364406","49.4434710"
"Apartment 31","ST_PETER_PORT","1950000.00","2","2","true",,"AVAILABLE","Open","Buy","Apartment","-2.5387260","49.4586398"
"2, Infinity Views","ST_PETER_PORT","1375000.00","4","3","true","true","AVAILABLE","Local","Buy","House","-2.5472890","49.4542240"
"La Chataignier","ST_PETER_PORT","1195000.00","5","3","true",,"AVAILABLE","Open","Buy","House","-2.5429890","49.4653050"
"Rothbury","ST_PETER_PORT","800000.00","3","1","true",,"AVAILABLE","Open","Buy","House","-2.5444600","49.4589799"
"Ste Helene Manor","ST_ANDREW","8687000.00","7","6","true",,"AVAILABLE","Open","Buy","Georgian","-2.5785659","49.4441898"
"Reffee","ST_PETER_PORT","6500000.00","3","3",,,"AVAILABLE","Open","Buy","Apartment","-2.5348160","49.4589620"
"La Belle Vue","ST_PETER_PORT","10650000.00","6","6","true","true","AVAILABLE","Open","Buy","House","-2.5355609","49.4378770"
"Courtil Landelle","CASTEL","2800000.00","4","4","true","true","AVAILABLE","Open","Buy","House","-2.5793919","49.4612108"
"Rocquaine House","ST_PETERS","1500000.00",,,"true",,"AVAILABLE","Local","Buy","Apartment","-2.6485829","49.4393378"
"Pen-Y-Bryn","ST_PETER_PORT","1550000.00",,,"true",,"AVAILABLE","Open","Buy","House","-2.5502780","49.4557854"
"Spindrift","ST_PETER_PORT",,,,"true",,"AVAILABLE","Open","Buy","Apartment","-2.5356177","49.4382345"
"Flat 3","ST_PETER_PORT","315000.00","1","1",,,"AVAILABLE","Local","Buy","Flat","-2.5416934","49.4521704"
"Mont Havelet Court","ST_PETER_PORT","3350000.00","4","4","true",,"AVAILABLE","Open","Buy","Apartment","-2.5399145","49.4499250"
"La Grande Remise","SARK","285000.00",,,,,"AVAILABLE","Open","Buy","Bungalow","-2.3545539","49.4318075"
"Beau Sejour","SARK","565000.00","3","3","true",,"AVAILABLE",,"Buy","Guest house","-2.3688137","49.4365430"
"Burwood","ST_PETER_PORT","1250000.00","5","3","true",,"AVAILABLE","Open","Buy","Terraced","-2.5443560","49.4593818"
"The Heathers","ST_PETER_PORT","475000.00","2","2","true",,"AVAILABLE","Local","Buy","Terraced","-2.5376930","49.4695970"
"Eastwood","ST_PETER_PORT","1795000.00","5","3","true",,"AVAILABLE","Open","Buy","House","-2.5512527","49.4506640"
"16 Cornet Street","ST_PETER_PORT","450000.00",,,"true",,"AVAILABLE","Local","Buy","Office","-2.5367446","49.4535083"
